"","fit"
1,0.0109779
2,0.1063149
3,0.1945599
4,0.194827
5,0.152892
6,0.1081893
7,0.0733113
8,0.0490286
9,0.0328539
10,0.0221867
11,0.0151520000000001
12,0.0106042
13,0.00744010000000006
14,0.00537549999999998
15,0.00384090000000004
16,0.00280499999999995
17,0.00207749999999995
18,0.0015868
19,0.00120350000000002
20,0.000920900000000002
21,0.000722400000000012
22,0.000569299999999995
23,0.00045050000000002
24,0.000360400000000038
25,0.000279799999999941
26,0.000235100000000044
27,0.000190699999999988
28,0.000158800000000014
29,0.0001274
30,0.000100600000000006
31,8.99999999999235e-05
32,7.9200000000057e-05
33,6.5599999999999e-05
34,5.29000000000224e-05
35,4.73999999999197e-05
36,4.07000000000046e-05
37,3.47000000000541e-05
38,2.93000000000099e-05
39,2.32999999999484e-05
40,2.20000000000775e-05
41,2.08999999999904e-05
42,1.6799999999928e-05
43,1.34000000000523e-05
44,1.28999999999824e-05
45,9.99999999995449e-06
46,9.70000000000137e-06
47,8.4000000000195e-06
48,6.79999999997349e-06
49,8.60000000002525e-06
50,5.80000000005576e-06
51,4.89999999997437e-06
52,3.5999999999925e-06
53,4.4000000000155e-06
54,4.4000000000155e-06
55,4.20000000000975e-06
56,3.79999999999825e-06
57,2.89999999991686e-06
58,2.80000000008052e-06
59,2.39999999995799e-06
60,1.80000000005176e-06
61,1.89999999999912e-06
62,1.59999999993499e-06
63,6.99999999964618e-07
64,9.00000000081391e-07
65,1.39999999992924e-06
66,8.00000000023005e-07
67,1.00000000002876e-06
68,1.09999999997612e-06
69,8.00000000023005e-07
70,1.00000000002876e-06
71,4.99999999958867e-07
72,8.00000000023005e-07
73,6.00000000017253e-07
74,6.99999999964618e-07
75,2.00000000005751e-07
76,6.00000000017253e-07
77,8.99999999970369e-07
78,2.00000000005751e-07
79,9.99999999473644e-08
80,5.00000000069889e-07
81,6.99999999964618e-07
82,5.00000000069889e-07
83,2.99999999953116e-07
84,4.00000000011502e-07
85,2.99999999953116e-07
86,3.00000000064138e-07
87,9.99999999473644e-08
88,1.00000000058387e-07
89,2.99999999953116e-07
90,2.00000000005751e-07
